"","GEO_LEVEL","GEOID","STATEFP","COUNTYFP","COUNTYNS","NAME.x","NAMELSAD","LSAD","CLASSFP","MTFCC","CSAFP","CBSAFP","METDIVFP","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","NAME","year","totalpopE","totalpopM","whiteE","whiteM","blackE","blackM","asianE","asianM","indigE","indigM","othraceE","othraceM","multiE","multiM","ltnxE","ltnxM","povrateE","povrateM","cpovrateE","cpovrateM","hhincE","hhincM","hsmoreE","hsmoreM","bamoreE","bamoreM","gradmoreE","gradmoreM","unempE","unempM","hlthinsE","hlthinsM","pubinsE","pubinsM","earnE","earnM","giniE","giniM","vachseE","vachseM","allhseE","allhseM","snapE","snapM","foreignbE","foreignbM","renter30E","renter30M","homeownE","homeownM","vacrateE","vacrateM","perc_snaphseE","perc_snaphseM","perc_forbE","perc_forbM","schlE","schlM","age17E","age17M","age24E","age24M","age64E","age64M","age65E","age65M","hhinc_blackE","hhinc_blackM","hhinc_asianE","hhinc_asianM","hhinc_multiE","hhinc_multiM","hhinc_whiteE","hhinc_whiteM","hhinc_ltnxE","hhinc_ltnxM","disability_numE","disability_numM","fips","lifeexpE","lifeexpM","lifeexp_blackE","lifeexp_blackM","lifeexp_ltnxE","lifeexp_ltnxM","lifeexp_whiteE","lifeexp_whiteM","lifeexp_asianE","lifeexp_asianM","dissim_wb","dissim_wh","inter_bw","inter_hw","iso_b","iso_h","state","locality","county.nice","TRACTCE","BLKGRPCE","blockgroup","count","tractnames","tract","tr","pop"
"1","Block Group","510030101001","51","003",NA,NA,"Block Group 1",NA,NA,"G5030",NA,NA,NA,"S",74984712,463193,"+38.2061546","-078.5498243","Block Group 1, Census Tract 101, Albemarle County, Virginia","2021",2101,513,79.53,4.1,6.24,4.41,0,0.62,0,0.62,0,0.62,14.18,9.22,0.05,0.24,NA,NA,NA,NA,89375,10919,91.84,4.87,49.22,9.42,26.17,9.38,3.47,4.56,97.67,3.67,33.65,8.78,53157,12030,NA,NA,14,23,835,153,72,75,NA,NA,47.8,49.5,83.7,6.6,1.7,2.7,8.6,0.09,NA,NA,NA,NA,24.32,6.8,2.19,2.39,43.46,3.46,26.84,4.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010100","1","1","Albemarle","Free Union","010100",NA,"2101"
"2","Block Group","510030101002","51","003",NA,NA,"Block Group 2",NA,NA,"G5030",NA,NA,NA,"S",227405927,501595,"+38.1792209","-078.6809367","Block Group 2, Census Tract 101, Albemarle County, Virginia","2021",922,341,90.24,12.32,0.87,2.25,0,1.41,0.11,1.52,0,1.41,7.48,7.65,1.3,1.78,NA,NA,NA,NA,72813,13013,80.2,41.82,40.1,11.17,18.54,7.77,3.76,5.54,92.19,6.79,26.25,17.34,36765,5288,NA,NA,178,119,563,162,0,13,NA,NA,36.5,51.2,86.5,18.9,31.6,19.1,0,0.02,NA,NA,NA,NA,8.68,6.6,5.31,5.81,54.56,14.5,25.38,9.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010100","2","2","Albemarle","Free Union","010100",NA,"922"
"3","Block Group","510030101003","51","003",NA,NA,"Block Group 3",NA,NA,"G5030",NA,NA,NA,"S",60429005,852997,"+38.1236336","-078.6069559","Block Group 3, Census Tract 101, Albemarle County, Virginia","2021",1726,450,96.64,6.24,0,0.75,0.52,0.92,0,0.75,0,0.75,1.33,2.12,1.51,2.34,NA,NA,NA,NA,121000,50439,96.55,1.66,60.66,8,35.06,9.98,2.8,4.71,89.57,7.3,7.59,4.8,68520,16250,NA,NA,42,66,734,168,0,13,NA,NA,0,22.2,83.1,10,5.7,8.9,0,0.02,NA,NA,NA,NA,21.61,7.88,1.22,1.96,49.3,0.52,22.6,7.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010100","3","3","Albemarle","Free Union","010100",NA,"1726"
"4","Block Group","510030102011","51","003",NA,NA,"Block Group 1",NA,NA,"G5030",NA,NA,NA,"S",30830005,395358,"+38.1759480","-078.4772482","Block Group 1, Census Tract 102.01, Albemarle County, Virginia","2021",2218,480,94.54,8.21,0.05,0.09,0.45,0.99,0,0.59,0.95,1.75,3.47,3.99,0.54,0.89,NA,NA,NA,NA,112857,21335,99.33,30.07,72.45,5.21,44.5,11.45,2.43,2.37,99.5,1.63,9.15,5.42,65182,14500,NA,NA,0,13,776,134,0,13,NA,NA,22.2,254.3,98.8,2.6,0,1.7,0,0.02,NA,NA,NA,NA,29.8,4.32,2.61,2.12,41.03,12.52,26.24,6.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010201","1","1","Albemarle","Charlottesville-Albemarle Airport","010201",NA,"2218"
"5","Block Group","510030102012","51","003",NA,NA,"Block Group 2",NA,NA,"G5030",NA,NA,NA,"S",3045658,66396,"+38.1621340","-078.4110714","Block Group 2, Census Tract 102.01, Albemarle County, Virginia","2021",1916,463,64.41,14.91,18.37,6.89,3.39,4.25,0,0.68,0,0.68,8.51,8.31,5.32,4.68,NA,NA,NA,NA,86776,18364,96.07,6.73,41.72,10.37,12.26,5.96,0,1.28,95.46,3.6,4.38,4.13,43857,3646,NA,NA,30,49,637,133,9,16,NA,NA,35.1,56,93.9,5.8,4.7,7.6,1.4,0.02,NA,NA,NA,NA,33.04,6.32,9.92,5.64,52.09,16.97,4.96,3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010201","2","2","Albemarle","Charlottesville-Albemarle Airport","010201",NA,"1916"
"6","Block Group","510030102013","51","003",NA,NA,"Block Group 3",NA,NA,"G5030",NA,NA,NA,"S",36225177,301251,"+38.1688737","-078.3914440","Block Group 3, Census Tract 102.01, Albemarle County, Virginia","2021",1577,381,91.82,11.63,2.92,4.25,2.09,2.68,0.06,0.19,0,0.82,0.76,0.93,2.35,2.6,NA,NA,NA,NA,93393,14194,96.24,10.45,58.19,14.39,21.29,6.12,8.81,10.56,97.84,2.25,6.59,5.31,47871,6228,NA,NA,0,13,566,131,34,42,NA,NA,23.1,34.6,79.3,10.2,0,2.3,6,0.07,NA,NA,NA,NA,29.42,9.37,4.76,3.92,41.28,2.78,22.83,7.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010201","3","3","Albemarle","Charlottesville-Albemarle Airport","010201",NA,"1577"
"7","Block Group","510030102021","51","003",NA,NA,"Block Group 1",NA,NA,"G5030",NA,NA,NA,"S",28336115,844351,"+38.1062527","-078.5347264","Block Group 1, Census Tract 102.02, Albemarle County, Virginia","2021",1185,209,78.82,19.5,4.3,5.18,3.21,3.67,0,1.1,3.12,3.59,1.43,1.92,9.11,10.77,NA,NA,NA,NA,172625,41330,100,9.32,78.78,11.02,49.94,10.92,0.53,0.88,99.58,1.49,5.32,3.52,102264,17656,NA,NA,61,59,532,79,0,13,NA,NA,26.7,43.5,87.3,1.7,11.5,11,0,0.02,NA,NA,NA,NA,21.35,7.82,2.28,2.31,43.29,8.14,31.05,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010202","1","1","Albemarle","Earlysville","010202",NA,"1185"
"8","Block Group","510030102022","51","003",NA,NA,"Block Group 2",NA,NA,"G5030",NA,NA,NA,"S",29626122,1021277,"+38.1352204","-078.4895519","Block Group 2, Census Tract 102.02, Albemarle County, Virginia","2021",1882,364,94.16,6.19,0.58,0.95,1.97,2.2,0,0.69,0,0.69,1.06,1.53,2.23,2.68,NA,NA,NA,NA,121875,22261,96.47,5.96,70.1,7.43,32.99,6.24,0.85,1.31,98.88,1.51,11.05,3.66,46141,16024,NA,NA,53,51,759,133,18,22,NA,NA,40,58,92.9,7.4,7,6.6,2.4,0.03,NA,NA,NA,NA,19.18,3.76,8.66,6.69,52.55,4.45,19.29,3.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010202","2","2","Albemarle","Earlysville","010202",NA,"1882"
"9","Block Group","510030103011","51","003",NA,NA,"Block Group 1",NA,NA,"G5030",NA,NA,NA,"S",7466902,58183,"+38.1339041","-078.4438526","Block Group 1, Census Tract 103.01, Albemarle County, Virginia","2021",2217,453,76.05,16.22,8.84,8.79,6.27,5.31,0,0.59,0,0.59,2.07,2.03,6.77,6.58,NA,NA,NA,NA,103462,31111,91.36,15.24,45.82,13.4,23.58,11,3.55,5.23,94.09,2.94,16.24,6.8,50929,22237,NA,NA,13,21,691,129,47,43,NA,NA,6.7,21.9,82.4,12.3,1.9,3,6.8,0.06,NA,NA,NA,NA,27.2,7.37,9.11,5.78,51.2,5.22,9.88,4.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010301","1","1","Albemarle","Berkmar Drive","010301",NA,"2217"
"10","Block Group","510030103021","51","003",NA,NA,"Block Group 1",NA,NA,"G5030",NA,NA,NA,"S",4230870,46749,"+38.1026080","-078.4455057","Block Group 1, Census Tract 103.02, Albemarle County, Virginia","2021",1329,156,70.58,12.56,5.34,4.93,0,0.98,0,0.98,2.41,3.3,12.57,11.87,9.1,10.4,NA,NA,NA,NA,121250,80083,97.53,16.34,60.99,12.7,22.47,10.46,1.58,2.54,100,0.98,14.97,10.28,80302,8950,NA,NA,0,13,433,40,0,13,NA,NA,15,17.4,61.4,22.1,0,3,0,0.03,NA,NA,NA,NA,34.76,10.49,4.29,3.94,37.32,9.78,23.25,9.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","003","Albemarle County","010302","1","1","Albemarle","Polo Grounds Road","010302",NA,"1329"
